timestamp px py pz qx qy qz qw
166.300000000 20.293892301 -2.083369318 -0.035117888 -0.002381752 -0.001985786 -0.064675963 0.997901500
166.400000000 20.333699528 -2.065471811 -0.046728721 -0.009747708 0.004389177 -0.033140971 0.999393513
166.500000000 20.372772890 -2.044477979 -0.041190214 -0.004510671 0.004819853 0.007279854 0.999951712
166.600000000 20.407091997 -2.021619630 -0.047794649 0.001274849 -0.003046379 0.051111593 0.998687488
166.700000000 20.436712679 -1.997347280 -0.026628715 0.000796220 -0.003714204 0.091259904 0.995819864
166.800000000 20.470225655 -1.977908728 -0.052616347 0.001498493 0.011187408 0.119787559 0.992735381
166.900000000 20.513581173 -1.958379780 -0.051184538 0.020212870 0.017579455 0.163814627 0.986127360
167.000000000 20.523028861 -1.930110720 -0.040912673 0.006255157 -0.007592107 0.210322040 0.977582668
167.100000000 20.544961296 -1.907104869 -0.032316091 0.014090051 -0.010408660 0.244961536 0.969374528
167.200000000 20.572869204 -1.874461845 -0.048607282 0.001042969 0.008595602 0.270283673 0.962741795
167.300000000 20.603770470 -1.840026429 -0.049829940 0.010047754 0.011495895 0.317139294 0.948256060
167.400000000 20.607477652 -1.800089592 -0.033197627 -0.000674722 -0.002644421 0.356090045 0.934447661
167.500000000 20.626820336 -1.761971940 -0.042997734 -0.009638669 0.000059275 0.383249021 0.923594760
167.600000000 20.643082810 -1.727783928 -0.045660651 -0.003046771 0.005617586 0.418551855 0.908170416
167.700000000 20.652147225 -1.691340692 -0.052457274 0.001897409 -0.002457044 0.455730344 0.890112474
167.800000000 20.658001569 -1.656978855 -0.041449394 0.005723574 -0.004694531 0.486986060 0.873378371
167.900000000 20.672649790 -1.624507888 -0.065358314 -0.004436074 0.007700265 0.495249702 0.868705220
168.200000000 20.743934806 -1.537609040 -0.035951474 -0.013954758 0.000697305 0.475506626 0.879601175
168.700000000 20.826694996 -1.389641426 -0.010891456 -0.007407360 -0.005840441 0.494643592 0.869044727
168.800000000 20.833377751 -1.352884420 -0.032043104 -0.002908868 0.006846771 0.524691612 0.851259874
168.900000000 20.822656707 -1.307610825 -0.021504901 -0.003964892 0.000285758 0.567577601 0.823310309
169.000000000 20.820717709 -1.271905235 -0.046891968 -0.006707630 0.001575819 0.595745707 0.803143559
169.100000000 20.815248997 -1.222640172 -0.053831020 -0.000346778 0.005369405 0.633363378 0.773835822
169.200000000 20.803913362 -1.190983212 -0.053907513 0.005837627 -0.001816045 0.661605165 0.749827466
169.300000000 20.790305407 -1.152589895 -0.046724373 0.006171488 -0.002128576 0.689435312 0.724317839
169.400000000 20.777103378 -1.119955713 -0.057414034 -0.004300817 0.005517861 0.710283880 0.703880577
169.500000000 20.760046502 -1.078602071 -0.054349964 0.002485355 0.013525298 0.741294427 0.671039091
169.600000000 20.743403684 -1.052140456 -0.044312003 -0.005367400 -0.002779785 0.745889706 0.666042048
169.800000000 20.745729754 -0.987387497 -0.035562654 -0.003543194 -0.009786221 0.731601428 0.681653156
170.200000000 20.747936755 -0.841001565 -0.047274966 0.000499311 0.015284100 0.727889916 0.685523462
170.400000000 20.740391519 -0.779925865 -0.041945263 0.013346276 0.002469957 0.731440757 0.681769900
170.800000000 20.722304241 -0.635974462 -0.057035322 -0.008607083 -0.004984935 0.729160961 0.684269948
170.900000000 20.707110104 -0.607086974 -0.041969621 -0.003284031 -0.004189823 0.754045476 0.656800640
171.000000000 20.683502812 -0.576647058 -0.058086475 0.000873253 0.006862574 0.785369149 0.618989049
171.100000000 20.648637972 -0.552434289 -0.047959440 0.005376267 0.000868037 0.815313541 0.578994104
171.200000000 20.624473697 -0.519864550 -0.081701588 -0.005864779 0.006243728 0.834302554 0.551240301
171.300000000 20.599053636 -0.478556696 -0.081939357 -0.001553721 0.022623085 0.859432735 0.510745687
171.400000000 20.568673521 -0.466241921 -0.078338132 0.010556446 -0.001112918 0.883053149 0.469152916
171.500000000 20.540184685 -0.445878143 -0.074745911 0.017119422 0.000551985 0.898577606 0.438480223
171.600000000 20.504476282 -0.420450041 -0.096226594 -0.003413811 0.005738103 0.905273172 0.424777476
171.900000000 20.426494722 -0.340733084 -0.078467416 -0.010548973 -0.011036057 0.902645252 0.430114490
172.100000000 20.390886037 -0.283837912 -0.082046460 -0.001235720 0.006085291 0.899935642 0.435978534
175.000000000 19.753619369 0.512680396 -0.053593362 -0.001816861 0.016259200 0.902527578 0.430321170
175.200000000 19.698231122 0.563167058 -0.050348876 -0.009564839 -0.008005929 0.902023338 0.431507031
175.700000000 19.596920697 0.710784127 -0.048729750 -0.003592805 0.015594768 0.902628300 0.430123293
176.300000000 19.450686382 0.864563552 -0.071177186 -0.008851292 -0.008196181 0.901947364 0.431677459
176.800000000 19.345378416 1.006474777 -0.034619779 -0.003442329 0.016838543 0.902676181 0.429977122
177.300000000 19.237085761 1.143981247 -0.059534074 -0.003077352 -0.001691732 0.904473642 0.426515063
179.000000000 18.875884762 1.622603757 -0.040645662 -0.002212859 0.013139324 0.879774751 0.475204008
179.100000000 18.867774244 1.652223763 -0.053262440 0.000029895 0.001726352 0.864649565 0.502372519
